experiment,activity,next_activity,frequency
26,productCallsForTransportRegion1,productDisposed,9900
27,arrivalAtSource,productCallsForTransportRegion1,151493
27,droppedOffRegion2,startProcessingRegion2,146296
27,finishedProcessingRegion2,productCallsForTransportRegion3,146294
27,productCallsForTransportRegion1,assignedToVehicleRegion1,146292
27,pickedUpRegion1,droppedOffRegion2,146274
27,assignedToVehicleRegion1,pickedUpRegion1,146253
27,startProcessingRegion2,finishedProcessingRegion2,145304
27,assignedToVehicleRegion3,pickedUpRegion3,130961
27,pickedUpRegion3,droppedOffRegion3,130947
27,productCallsForTransportRegion3,assignedToVehicleRegion3,130931
27,productCallsForTransportRegion1,productDisposed,5145
