experiment,run,number_of_cases,number_of_events,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality
23,18,7655,77097,12,15,20.124745805355975,127.64313333333332,44.87621462764545
23,19,7857,78669,12,15,20.011842925204697,115.04933166666666,44.500002846802516
23,20,7645,79860,12,15,10.521189287987792,49.328125,52.96793666497663
24,1,7574,78679,12,17,5.613691842047355,186.92900666666668,73.44350544804716
24,2,7754,80091,12,15,5.403505537786949,53.407635,73.76032118307394
24,3,7580,77154,12,19,5.20108567128408,26.976548333333334,75.72330472135187
24,4,7718,76936,12,18,5.117565094800034,19.64568166666667,75.53225188294786
24,5,7681,76509,12,18,5.155127037929089,26.473785000000003,75.37737838887634
24,6,7718,77438,12,15,5.12020450613285,21.03343166666667,75.69916036269198
24,7,7543,75351,12,17,5.1422578876662675,18.11286,75.66527354119069
24,8,7619,76802,12,16,5.1634329743623395,20.125155,76.05247723100503
24,9,7645,78928,12,16,5.584916587965991,85.079315,72.51727991905489
24,10,7585,76013,12,16,5.14875328499231,15.67792,76.05205115824995
24,11,7593,77405,12,16,5.143150127529742,19.868476666666666,76.5619910156803
24,12,7774,77895,12,19,5.1818440446788445,35.501178333333336,74.82402693685455
24,13,7649,77042,12,16,5.137325280210921,14.851991666666667,75.9253965239959
24,14,7667,79667,12,17,5.530140105212817,50.03835,72.72303323258458
24,15,7740,80023,12,15,5.377476181309216,57.07266333333334,73.5494216952089
24,16,7524,77618,12,14,5.43993336988304,81.90978166666667,73.60902193612844
24,17,7706,78171,12,19,5.1948772947486805,29.189833333333336,74.70316488938344
24,18,7555,76941,12,16,5.220947711008163,20.395331666666667,75.66358136816473
24,19,7746,79809,12,14,5.305771556287117,45.49763,74.04626638360496
24,20,7621,76342,12,17,5.1797109123912,37.38027,75.23834130121169
25,1,7574,80233,12,19,5.414100276384121,53.886475000000004,75.98002956375657
25,2,7753,81898,12,15,5.432477543531535,67.40109,75.33156023976387
25,3,7582,80863,12,17,5.636942886881211,124.68752166666667,74.97986615531104
25,4,7715,80887,12,16,5.211730842298552,23.27595,76.81746368318704
25,5,7683,79753,12,15,5.181099355720422,20.889158333333334,77.48064664378062
25,6,7719,81399,12,15,5.2785294001813705,30.769618333333334,75.99948845999508
25,7,7546,79748,12,18,5.306066288983126,34.986194999999995,76.40355583891446
25,8,7618,79463,12,15,5.212971457731688,31.878566666666664,77.19875639957594
25,9,7640,81573,12,16,5.539666601003489,62.56295,74.74888218399506
25,10,7588,80734,12,17,5.488215221402214,71.43333,75.1805516396962
